ons_code,local_authority,total_education_services,total_highways_and_transport_services,_source_file,_sheet_name,_ingested_at,_row_number
E09000033,Westminster,128468,-55517,council_budget/bronze/Council_Budgets.xlsx,Worksheet 2: Revenue Account Budget (RA) 2025-26: Revenue Account data,2026-06-09 14:44:56.144819+00:00,402
E09000020,Kensington & Chelsea,106785,-28458,council_budget/bronze/Council_Budgets.xlsx,Worksheet 2: Revenue Account Budget (RA) 2025-26: Revenue Account data,2026-06-09 14:44:56.144819+00:00,188
E09000022,Lambeth,328563,-24917,council_budget/bronze/Council_Budgets.xlsx,Worksheet 2: Revenue Account Budget (RA) 2025-26: Revenue Account data,2026-06-09 14:44:56.144819+00:00,198
E09000013,Hammersmith & Fulham,119098,-21407,council_budget/bronze/Council_Budgets.xlsx,Worksheet 2: Revenue Account Budget (RA) 2025-26: Revenue Account data,2026-06-09 14:44:56.144819+00:00,156
E09000007,Camden,247852,-17522,council_budget/bronze/Council_Budgets.xlsx,Worksheet 2: Revenue Account Budget (RA) 2025-26: Revenue Account data,2026-06-09 14:44:56.144819+00:00,61
E09000019,Islington,209172,-16040,council_budget/bronze/Council_Budgets.xlsx,Worksheet 2: Revenue Account Budget (RA) 2025-26: Revenue Account data,2026-06-09 14:44:56.144819+00:00,187
E09000025,Newham,320158,-12089,council_budget/bronze/Council_Budgets.xlsx,Worksheet 2: Revenue Account Budget (RA) 2025-26: Revenue Account data,2026-06-09 14:44:56.144819+00:00,240
E06000006,Halton,113655,-9979,council_budget/bronze/Council_Budgets.xlsx,Worksheet 2: Revenue Account Budget (RA) 2025-26: Revenue Account data,2026-06-09 14:44:56.144819+00:00,155
E07000209,Guildford,0,-7479,council_budget/bronze/Council_Budgets.xlsx,Worksheet 2: Revenue Account Budget (RA) 2025-26: Revenue Account data,2026-06-09 14:44:56.144819+00:00,153
E07000041,Exeter,0,-6716,council_budget/bronze/Council_Budgets.xlsx,Worksheet 2: Revenue Account Budget (RA) 2025-26: Revenue Account data,2026-06-09 14:44:56.144819+00:00,134
E07000106,Canterbury,0,-5790,council_budget/bronze/Council_Budgets.xlsx,Worksheet 2: Revenue Account Budget (RA) 2025-26: Revenue Account data,2026-06-09 14:44:56.144819+00:00,63
